external_ref,oem,model,chemistry,rated_capacity_kwh,nominal_voltage,manufacture_date,source_city,source_state,lat,lng,cycle_count,capacity_now_kwh,avg_temp_c,max_temp_c,thermal_stress_hours,internal_resistance_mohm,ir_growth_pct,coulombic_efficiency,fade_rate,fade_acceleration,cv_phase_fraction,voltage_slope,voltage_variance,discharge_efficiency
BAT-0109,Fleet Operator A (2W),VoltPack-4300,LFP,4.3,52.0,2022-08-06,Mumbai,Maharashtra,18.9518,72.7419,670,3.75,29.8,42.9,26.3,15.7,36.5,0.9954,1.645,0.025,0.179,0.119,0.0224,0.9682
BAT-0110,Fleet Operator C (2W),VoltPack-3400,LFP,3.4,52.0,2021-05-08,Ahmedabad,Gujarat,22.9405,72.536,1090,2.57,33.1,43.7,55.7,23.8,13.3,0.9917,2.081,0.026,0.265,0.177,0.0875,0.9438
BAT-0111,Fleet Operator C (2W),VoltPack-3100,NMC,3.1,48.0,2023-02-17,Hyderabad,Telangana,17.4908,78.5971,418,2.54,31.3,40.1,32.7,43.2,32.5,0.9938,4.535,0.013,0.218,0.145,0.0289,0.9573
BAT-0112,Fleet Operator B (2W),VoltPack-4100,NMC,4.1,48.0,2023-03-17,Pune,Maharashtra,18.3902,73.7584,868,2.93,31.6,48.6,51.9,24.9,43.2,0.9904,2.877,0.018,0.296,0.198,0.0413,0.935
BAT-0113,Fleet Operator C (2W),VoltPack-3300,LFP,3.3,48.0,2022-11-24,Mumbai,Maharashtra,18.9781,72.7349,1442,2.21,34.1,53.7,53.1,13.0,25.0,0.9889,2.736,0.023,0.329,0.219,0.0956,0.9257
BAT-0114,Fleet Operator C (2W),VoltPack-3200,NMC,3.2,52.0,2022-12-03,New Delhi,Delhi,28.6607,77.1523,1511,2.51,31.8,45.1,23.1,31.4,31.2,0.9926,1.258,0.024,0.245,0.163,0.0387,0.9497
BAT-0115,Fleet Operator B (2W),VoltPack-4400,LFP,4.4,52.0,2022-07-07,Bengaluru,Karnataka,12.9526,77.5611,513,3.48,30.0,51.0,53.8,26.7,32.1,0.9928,3.62,0.032,0.24,0.16,0.0569,0.9511
BAT-0116,Fleet Operator B (3W),VoltPack-7400,LFP,7.4,60.0,2022-02-02,New Delhi,Delhi,28.4902,77.2695,1127,5.02,34.4,46.9,44.5,22.5,24.1,0.9892,3.296,0.071,0.324,0.216,0.095,0.9272
BAT-0117,Fleet Operator C (2W),VoltPack-4300,NMC,4.3,48.0,2022-04-26,Hyderabad,Telangana,17.4035,78.5258,1443,2.47,38.9,46.6,46.5,15.8,21.5,0.9858,3.344,0.03,0.401,0.268,0.1156,0.9052
BAT-0118,Fleet Operator A (2W),VoltPack-4100,LFP,4.1,60.0,2023-12-04,Hyderabad,Telangana,17.3397,78.4495,330,3.74,26.9,41.2,13.1,32.0,9.3,0.9968,2.781,0.028,0.148,0.099,0.0134,0.9771
BAT-0119,Fleet Operator C (2W),VoltPack-4000,LFP,4.0,48.0,2024-09-14,Lucknow,Uttar Pradesh,26.8385,80.8654,498,3.24,31.5,42.1,10.9,26.8,23.5,0.9935,3.775,0.042,0.224,0.15,0.046,0.9554
BAT-0120,Fleet Operator C (2W),VoltPack-4100,LFP,4.1,48.0,2021-09-04,Hyderabad,Telangana,17.4874,78.3613,1428,3.22,31.6,53.2,74.1,22.4,80.3,0.9926,1.467,0.024,0.244,0.162,0.0421,0.95
BAT-0121,Fleet Operator B (2W),VoltPack-4400,LFP,4.4,60.0,2021-06-18,Bengaluru,Karnataka,13.0316,77.5649,490,3.46,30.0,44.7,47.1,32.5,24.4,0.9927,3.573,0.039,0.243,0.162,0.0473,0.9503
BAT-0122,Fleet Operator B (3W),VoltPack-7600,LFP,7.6,60.0,2023-11-16,Bengaluru,Karnataka,12.8632,77.5779,1666,4.85,35.2,45.2,48.8,37.9,15.2,0.9879,1.795,0.101,0.354,0.236,0.1304,0.9188
BAT-0123,Fleet Operator C (2W),VoltPack-3100,NMC,3.1,60.0,2021-02-25,Jaipur,Rajasthan,27.006,75.7478,752,2.37,31.9,46.8,16.1,32.5,54.9,0.9919,3.084,0.096,0.26,0.173,0.0569,0.9453
BAT-0124,Fleet Operator A (2W),VoltPack-3500,LFP,3.5,60.0,2021-08-03,New Delhi,Delhi,28.6369,77.171,402,3.17,29.3,36.2,4.0,28.5,5.3,0.9965,2.118,0.03,0.154,0.102,0.0144,0.9754
BAT-0125,Fleet Operator C (2W),VoltPack-3300,NMC,3.3,48.0,2024-02-16,Mumbai,Maharashtra,19.2011,72.9978,564,2.78,32.5,38.4,30.5,34.9,15.6,0.9945,2.298,0.024,0.202,0.135,0.0371,0.9618
BAT-0126,Fleet Operator A (2W),VoltPack-3500,NMC,3.5,48.0,2023-06-13,New Delhi,Delhi,28.5879,77.1686,1271,2.31,36.4,40.8,30.7,36.8,30.2,0.9886,2.959,0.004,0.337,0.224,0.0772,0.9236
BAT-0127,Fleet Operator C (2W),VoltPack-3400,NMC,3.4,60.0,2024-07-02,Bengaluru,Karnataka,12.9499,77.6554,649,2.26,34.9,50.7,39.8,21.0,55.8,0.9887,4.678,0.044,0.335,0.223,0.0534,0.9241
BAT-0128,Fleet Operator C (2W),VoltPack-3700,NMC,3.7,60.0,2024-04-21,Pune,Maharashtra,18.3747,73.8079,541,2.69,35.0,44.4,38.7,18.8,54.5,0.9908,5.48,0.042,0.286,0.191,0.0808,0.9379
BAT-0129,Fleet Operator A (2W),VoltPack-4200,LFP,4.2,52.0,2021-11-03,Bengaluru,Karnataka,13.0314,77.5321,462,3.32,35.3,46.1,49.7,22.9,44.1,0.9928,4.968,0.013,0.24,0.16,0.0533,0.951
BAT-0130,Fleet Operator C (3W),VoltPack-7100,NMC,7.1,60.0,2021-11-08,Mumbai,Maharashtra,19.0432,73.0014,1650,4.56,36.7,50.3,59.6,36.1,15.7,0.988,1.987,0.017,0.35,0.234,0.0925,0.9197
BAT-0131,Fleet Operator B (4W),VoltPack-36900,LFP,36.9,96.0,2024-09-22,Jaipur,Rajasthan,26.8845,75.7764,1509,27.08,35.9,53.9,71.1,31.0,64.4,0.991,1.495,0.042,0.282,0.188,0.0836,0.9391
BAT-0132,Fleet Operator B (2W),VoltPack-3400,LFP,3.4,48.0,2021-05-11,Lucknow,Uttar Pradesh,26.9253,80.8503,1258,2.58,35.7,43.1,31.1,41.7,14.2,0.9918,1.528,0.107,0.263,0.175,0.0789,0.9446
BAT-0133,Fleet Operator A (2W),VoltPack-3900,NMC,3.9,60.0,2022-03-01,Bengaluru,Karnataka,12.9615,77.7034,927,2.56,33.0,51.0,28.9,38.4,15.4,0.9885,3.583,0.043,0.34,0.227,0.0697,0.9226
BAT-0134,Fleet Operator A (2W),VoltPack-4200,NMC,4.2,52.0,2023-12-08,Mumbai,Maharashtra,19.1925,72.969,703,3.75,28.3,43.2,28.2,25.5,27.8,0.9961,1.76,0.022,0.163,0.109,0.0215,0.9729
BAT-0135,Fleet Operator A (2W),VoltPack-4100,LCO,4.1,48.0,2022-04-15,New Delhi,Delhi,28.6695,77.2883,757,2.76,34.6,53.0,60.6,40.5,39.3,0.989,5.095,0.096,0.328,0.219,0.0549,0.9261
BAT-0136,Fleet Operator C (2W),VoltPack-4300,NMC,4.3,52.0,2021-10-09,New Delhi,Delhi,28.5771,77.1483,1061,2.87,33.0,47.8,67.8,39.5,42.4,0.9888,2.554,0.099,0.332,0.221,0.1124,0.925
BAT-0137,Fleet Operator C (2W),VoltPack-3100,NMC,3.1,52.0,2023-03-02,Bengaluru,Karnataka,12.9997,77.5518,370,2.72,30.1,41.5,16.6,42.7,10.3,0.9956,3.921,0.008,0.175,0.117,0.0252,0.9695
BAT-0138,Fleet Operator C (2W),VoltPack-4100,NMC,4.1,48.0,2024-02-11,Kochi,Kerala,9.9512,76.17,896,3.22,35.7,42.3,45.1,17.2,21.7,0.9926,2.418,0.018,0.244,0.163,0.0454,0.9498
BAT-0139,Fleet Operator B (4W),VoltPack-30200,NMC,30.2,96.0,2023-05-07,Bengaluru,Karnataka,13.0188,77.5387,1504,20.42,35.9,52.8,35.1,44.7,54.5,0.9891,2.32,0.038,0.325,0.217,0.0495,0.9268
BAT-0140,Fleet Operator A (3W),VoltPack-7500,LCO,7.5,60.0,2024-11-03,Ahmedabad,Gujarat,23.1441,72.6389,1197,5.68,33.5,50.4,49.8,37.0,80.2,0.9917,1.747,0.013,0.265,0.176,0.0347,0.944
BAT-0141,Fleet Operator C (3W),VoltPack-7400,LFP,7.4,48.0,2024-01-16,Chennai,Tamil Nadu,13.0734,80.2672,431,5.6,35.6,43.3,20.3,36.5,50.2,0.9917,6.741,0.109,0.265,0.177,0.0832,0.9438
BAT-0142,Fleet Operator A (2W),VoltPack-4400,LFP,4.4,48.0,2021-07-22,Chennai,Tamil Nadu,13.1557,80.1408,1515,3.44,40.4,65.7,83.0,24.1,39.2,0.9925,1.171,0.003,0.247,0.164,0.0624,0.9491
BAT-0143,Fleet Operator C (2W),VoltPack-3300,NMC,3.3,48.0,2023-06-09,Chennai,Tamil Nadu,13.2284,80.3995,811,2.61,31.6,42.8,29.4,20.0,26.4,0.9929,2.099,0.021,0.238,0.159,0.0713,0.9515
BAT-0144,Fleet Operator C (3W),VoltPack-5200,LFP,5.2,48.0,2021-04-15,Bengaluru,Karnataka,13.1042,77.6905,1501,4.0,35.2,41.6,10.9,35.1,30.4,0.9921,1.357,0.034,0.256,0.171,0.0466,0.9464
BAT-0145,Fleet Operator B (2W),VoltPack-3200,NMC,3.2,60.0,2024-10-22,Hyderabad,Telangana,17.5329,78.4433,1037,2.49,35.0,46.5,40.3,31.6,51.1,0.9924,1.761,0.022,0.249,0.166,0.0528,0.9484
BAT-0146,Fleet Operator B (3W),VoltPack-7200,NMC,7.2,48.0,2023-11-08,Chennai,Tamil Nadu,12.9875,80.3122,694,6.0,29.3,48.8,19.6,29.9,31.0,0.9942,1.99,0.029,0.208,0.138,0.0343,0.9602
BAT-0147,Fleet Operator B (2W),VoltPack-3700,NMC,3.7,52.0,2021-08-14,Chennai,Tamil Nadu,13.194,80.2467,1135,2.94,34.3,48.2,58.1,20.0,32.3,0.9929,1.894,0.044,0.237,0.158,0.0624,0.9518
BAT-0148,Fleet Operator C (2W),VoltPack-4300,NMC,4.3,48.0,2024-09-09,Hyderabad,Telangana,17.4809,78.4724,1048,3.06,35.9,41.6,57.1,43.1,54.3,0.9903,2.81,0.023,0.298,0.199,0.0478,0.9345
BAT-0149,Fleet Operator B (2W),VoltPack-3300,NMC,3.3,60.0,2021-04-21,Chennai,Tamil Nadu,12.9609,80.3971,1257,2.16,31.1,50.7,61.7,21.1,45.4,0.9884,3.272,0.04,0.341,0.227,0.0699,0.9225
BAT-0150,Fleet Operator A (2W),VoltPack-3700,NMC,3.7,48.0,2024-05-25,Mumbai,Maharashtra,19.0356,72.855,814,3.18,33.7,39.5,33.3,41.7,28.8,0.995,1.496,0.036,0.189,0.126,0.021,0.9655
BAT-0151,Fleet Operator C (2W),VoltPack-3100,LFP,3.1,52.0,2023-05-27,Mumbai,Maharashtra,18.9752,72.9893,1166,2.03,34.1,44.5,71.0,31.7,55.1,0.9884,2.528,0.013,0.342,0.228,0.0665,0.9222
BAT-0152,Fleet Operator C (2W),VoltPack-4100,NMC,4.1,48.0,2024-06-18,Mumbai,Maharashtra,19.106,72.8794,1594,2.81,33.2,47.0,43.2,18.6,52.1,0.9894,1.611,0.017,0.318,0.212,0.1106,0.9289
BAT-0153,Fleet Operator B (2W),VoltPack-3800,LFP,3.8,60.0,2023-01-04,Pune,Maharashtra,18.5985,73.9492,891,3.14,31.7,41.5,7.1,15.0,23.4,0.994,2.09,0.007,0.212,0.141,0.0462,0.9589
BAT-0154,Fleet Operator A (3W),VoltPack-6800,NMC,6.8,60.0,2023-04-17,Jaipur,Rajasthan,26.989,75.6595,1376,4.34,38.3,63.2,151.3,31.3,28.9,0.9879,2.284,0.014,0.354,0.236,0.0925,0.9188
BAT-0155,Fleet Operator C (2W),VoltPack-3900,LFP,3.9,60.0,2023-08-02,New Delhi,Delhi,28.5896,77.0864,1719,2.65,38.4,59.2,78.3,15.7,29.6,0.9892,1.536,0.018,0.323,0.215,0.0875,0.9276
BAT-0156,Fleet Operator A (2W),VoltPack-4100,NMC,4.1,52.0,2021-09-19,Pune,Maharashtra,18.5155,73.8532,794,2.69,30.9,48.4,43.6,36.6,31.4,0.9885,4.437,0.022,0.34,0.227,0.1013,0.9227
BAT-0157,Fleet Operator A (2W),VoltPack-3500,NMC,3.5,48.0,2022-05-27,Chennai,Tamil Nadu,13.1621,80.3735,884,2.16,37.2,45.0,72.1,37.7,30.3,0.9872,4.837,0.007,0.369,0.246,0.0924,0.9145
BAT-0158,Fleet Operator B (2W),VoltPack-4300,NMC,4.3,60.0,2021-01-16,Mumbai,Maharashtra,19.1753,72.9557,1691,2.88,37.3,50.3,30.7,37.3,25.7,0.9889,2.181,0.003,0.33,0.22,0.1175,0.9255
BAT-0159,Fleet Operator C (2W),VoltPack-3100,NMC,3.1,60.0,2022-11-05,New Delhi,Delhi,28.5229,77.2982,1422,2.36,29.1,48.6,13.9,43.5,29.2,0.9918,1.584,0.016,0.262,0.175,0.0467,0.9447
BAT-0160,Fleet Operator A (2W),VoltPack-3000,NMC,3.0,48.0,2024-11-22,Chennai,Tamil Nadu,13.2085,80.3394,522,2.66,30.6,38.3,10.2,18.4,17.1,0.9959,2.509,0.017,0.168,0.112,0.0183,0.9713
BAT-0161,Fleet Operator A (2W),VoltPack-3900,NMC,3.9,48.0,2023-09-16,Nagpur,Maharashtra,21.2074,79.2369,1538,2.37,36.9,45.0,29.2,44.8,23.7,0.9869,2.612,0.067,0.377,0.251,0.0735,0.9122
BAT-0162,Fleet Operator C (2W),VoltPack-3100,NMC,3.1,52.0,2024-03-06,Pune,Maharashtra,18.5581,73.9774,930,2.39,39.6,62.7,127.9,42.3,33.0,0.9922,2.689,0.031,0.253,0.169,0.0741,0.9473
BAT-0163,Fleet Operator B (2W),VoltPack-3100,NMC,3.1,52.0,2024-12-02,Ahmedabad,Gujarat,23.1447,72.5475,1298,2.31,34.3,45.1,35.9,40.4,46.4,0.9913,2.096,0.006,0.275,0.183,0.0722,0.9412
BAT-0164,Fleet Operator A (2W),VoltPack-3400,LCO,3.4,48.0,2021-09-04,Mumbai,Maharashtra,18.9662,72.8688,1090,2.28,37.3,52.9,78.5,25.8,68.2,0.9889,2.47,0.026,0.33,0.22,0.1062,0.9256
BAT-0165,Fleet Operator C (2W),VoltPack-4100,NMC,4.1,48.0,2021-05-23,Pune,Maharashtra,18.3743,73.9291,634,3.59,31.8,45.2,24.1,44.7,23.1,0.9956,1.667,0.024,0.176,0.118,0.0349,0.969
BAT-0166,Fleet Operator C (3W),VoltPack-6100,NMC,6.1,60.0,2022-04-08,Pune,Maharashtra,18.4453,73.8078,619,4.02,36.4,50.9,31.0,44.7,13.2,0.9886,4.516,0.013,0.338,0.225,0.0739,0.9233
BAT-0167,Fleet Operator B (2W),VoltPack-4400,LCO,4.4,48.0,2022-09-14,Hyderabad,Telangana,17.3938,78.3711,1669,3.0,34.7,40.3,56.2,25.6,16.2,0.9893,2.268,0.107,0.322,0.214,0.0519,0.9279
BAT-0168,Fleet Operator B (2W),VoltPack-3100,LFP,3.1,60.0,2021-01-08,Bengaluru,Karnataka,12.8369,77.4742,1625,2.44,31.5,48.3,41.6,34.9,70.6,0.9927,1.089,0.11,0.243,0.162,0.0302,0.9502
BAT-0169,Fleet Operator B (2W),VoltPack-3200,LFP,3.2,48.0,2023-08-14,Bengaluru,Karnataka,13.0948,77.7085,804,2.16,36.6,49.8,47.4,22.4,24.3,0.9891,4.523,0.013,0.326,0.218,0.0645,0.9265
BAT-0170,Fleet Operator A (4W),VoltPack-28200,LCO,28.2,96.0,2021-09-04,Hyderabad,Telangana,17.4007,78.458,1567,19.18,33.8,45.9,60.5,32.0,29.4,0.9892,1.827,0.03,0.322,0.215,0.1119,0.9277
BAT-0171,Fleet Operator C (2W),VoltPack-3300,NMC,3.3,60.0,2024-07-09,Pune,Maharashtra,18.5058,73.8298,878,2.81,32.2,38.0,10.8,16.9,34.3,0.9948,1.619,0.009,0.193,0.129,0.0468,0.9642
BAT-0172,Fleet Operator B (2W),VoltPack-3000,NMC,3.0,52.0,2024-09-15,Mumbai,Maharashtra,19.1694,72.8796,1599,1.99,33.0,49.8,73.1,41.8,17.9,0.9886,1.826,0.02,0.336,0.224,0.1264,0.9237
BAT-0173,Fleet Operator B (3W),VoltPack-6500,NMC,6.5,60.0,2024-11-25,Ahmedabad,Gujarat,22.9128,72.6581,1282,5.14,29.7,41.0,55.0,13.8,26.3,0.9928,1.692,0.02,0.24,0.16,0.0406,0.951
BAT-0174,Fleet Operator B (2W),VoltPack-3800,NMC,3.8,52.0,2022-05-07,Pune,Maharashtra,18.4265,73.941,1065,2.84,36.7,52.9,41.6,20.0,64.9,0.9914,1.929,0.091,0.273,0.182,0.0715,0.9418
BAT-0175,Fleet Operator B (2W),VoltPack-4400,NMC,4.4,52.0,2022-08-23,Hyderabad,Telangana,17.3038,78.6229,581,3.79,31.2,46.9,32.5,23.6,23.9,0.9951,2.259,0.033,0.187,0.125,0.0425,0.966
BAT-0176,Fleet Operator B (2W),VoltPack-3600,NMC,3.6,52.0,2023-10-22,Ahmedabad,Gujarat,23.1551,72.6126,825,2.92,32.4,46.5,19.5,33.2,18.5,0.9935,2.421,0.007,0.223,0.149,0.0497,0.9557
BAT-0177,Fleet Operator A (2W),VoltPack-3000,LFP,3.0,60.0,2022-07-28,Bengaluru,Karnataka,13.0502,77.4475,342,2.73,26.4,39.0,8.9,32.8,6.0,0.9967,2.929,0.017,0.15,0.1,0.0105,0.9765
BAT-0178,Fleet Operator B (2W),VoltPack-4200,LCO,4.2,60.0,2021-04-28,Bengaluru,Karnataka,12.9899,77.7089,1533,3.16,35.7,49.1,46.1,36.2,32.5,0.9916,1.767,0.043,0.269,0.179,0.0732,0.9429
BAT-0179,Fleet Operator B (2W),VoltPack-3100,NMC,3.1,60.0,2022-11-14,Chennai,Tamil Nadu,13.0955,80.2088,750,2.24,33.0,42.7,18.5,38.6,45.8,0.9907,3.973,0.063,0.29,0.193,0.0499,0.9369
BAT-0180,Fleet Operator B (2W),VoltPack-3700,LFP,3.7,60.0,2021-12-07,Mumbai,Maharashtra,18.9737,72.9998,1248,2.3,37.1,50.1,72.4,23.8,14.4,0.9873,3.454,0.043,0.367,0.244,0.1221,0.9151
BAT-0181,Fleet Operator A (2W),VoltPack-3300,LFP,3.3,60.0,2021-07-13,Jaipur,Rajasthan,26.8102,75.6535,1243,1.61,33.9,53.5,56.7,22.2,34.1,0.985,4.234,0.082,0.42,0.28,0.0899,0.9
BAT-0182,Fleet Operator B (2W),VoltPack-3200,NMC,3.2,48.0,2021-11-17,Chennai,Tamil Nadu,13.227,80.299,733,2.13,32.0,51.9,59.5,24.4,18.7,0.9888,4.727,0.028,0.333,0.222,0.1006,0.9247
BAT-0183,Fleet Operator C (2W),VoltPack-3300,NMC,3.3,60.0,2024-05-13,New Delhi,Delhi,28.691,77.16,1528,2.38,35.7,49.6,29.8,24.5,54.7,0.9906,1.781,0.024,0.291,0.194,0.0547,0.9367
BAT-0184,Fleet Operator A (2W),VoltPack-3200,NMC,3.2,48.0,2023-08-25,Ahmedabad,Gujarat,22.9541,72.7059,921,2.1,30.3,45.8,23.0,44.4,42.0,0.9884,4.073,0.036,0.341,0.227,0.071,0.9224
BAT-0185,Fleet Operator B (2W),VoltPack-4100,LFP,4.1,48.0,2024-03-09,Pune,Maharashtra,18.4371,73.8767,1301,2.95,36.0,45.9,40.1,30.0,51.5,0.9905,1.784,0.029,0.292,0.195,0.0749,0.9363
BAT-0186,Fleet Operator C (2W),VoltPack-4000,NMC,4.0,48.0,2022-12-19,Pune,Maharashtra,18.5233,73.9235,504,2.94,33.2,50.8,40.0,17.9,38.7,0.991,5.346,0.021,0.281,0.187,0.0907,0.9395
BAT-0187,Fleet Operator B (2W),VoltPack-3700,NMC,3.7,60.0,2022-09-06,Indore,Madhya Pradesh,22.8155,75.9891,578,3.28,33.8,45.0,21.4,12.3,12.7,0.996,2.174,0.044,0.167,0.111,0.0238,0.9716
BAT-0188,Fleet Operator B (2W),VoltPack-4000,NMC,4.0,48.0,2024-11-12,Pune,Maharashtra,18.5876,73.7685,932,3.4,29.8,38.4,10.0,27.2,28.2,0.9948,1.414,0.014,0.195,0.13,0.0402,0.9638
BAT-0189,Fleet Operator A (2W),VoltPack-3200,LFP,3.2,52.0,2024-02-08,Pune,Maharashtra,18.6243,73.8043,1143,2.06,35.2,50.2,22.5,20.5,33.7,0.9881,3.459,0.04,0.349,0.233,0.1187,0.92
BAT-0190,Fleet Operator B (4W),VoltPack-31900,LCO,31.9,96.0,2021-12-15,Hyderabad,Telangana,17.4615,78.5182,1492,19.73,32.1,42.0,35.6,13.7,12.1,0.9872,2.136,0.113,0.369,0.246,0.1474,0.9145
BAT-0191,Fleet Operator B (4W),VoltPack-30400,LFP,30.4,96.0,2022-04-18,Bengaluru,Karnataka,12.8398,77.4463,1334,22.93,34.9,44.7,52.1,23.5,34.6,0.9916,1.513,0.022,0.267,0.178,0.0429,0.9434
BAT-0192,Fleet Operator B (2W),VoltPack-3000,LFP,3.0,60.0,2022-12-03,Hyderabad,Telangana,17.4785,78.4206,1495,2.25,32.3,52.2,31.2,28.2,22.0,0.9915,1.8,0.007,0.27,0.18,0.0554,0.9426
BAT-0193,Fleet Operator B (3W),VoltPack-7300,NMC,7.3,60.0,2022-12-10,Mumbai,Maharashtra,18.9435,72.7511,1543,5.75,32.2,52.9,32.7,14.7,41.7,0.9927,1.366,0.015,0.242,0.161,0.0695,0.9506
BAT-0194,Fleet Operator C (2W),VoltPack-3800,NMC,3.8,52.0,2022-09-23,Hyderabad,Telangana,17.3165,78.4858,1306,2.02,31.6,53.0,95.1,35.0,40.8,0.985,4.086,0.038,0.42,0.28,0.1167,0.9
BAT-0195,Fleet Operator C (2W),VoltPack-3400,NMC,3.4,60.0,2023-09-02,Hyderabad,Telangana,17.4645,78.4356,1138,2.59,34.7,60.6,154.7,15.2,24.8,0.9919,1.796,0.024,0.26,0.174,0.0799,0.9452
BAT-0196,Fleet Operator A (2W),VoltPack-3400,LCO,3.4,60.0,2021-06-10,New Delhi,Delhi,28.5847,77.1472,405,2.63,29.3,44.5,55.0,20.8,40.7,0.9923,5.448,0.027,0.252,0.168,0.047,0.9476
BAT-0197,Fleet Operator A (2W),VoltPack-4000,LFP,4.0,52.0,2023-03-09,Pune,Maharashtra,18.3901,73.9726,1752,2.51,30.5,50.1,75.6,16.2,39.8,0.9875,2.089,0.107,0.362,0.241,0.0605,0.9165
BAT-0198,Fleet Operator A (2W),VoltPack-3300,NMC,3.3,60.0,2021-09-08,Lucknow,Uttar Pradesh,26.8963,80.8543,1772,1.84,33.0,53.4,88.1,27.6,25.1,0.9853,2.983,0.03,0.414,0.276,0.1595,0.9018
BAT-0199,Fleet Operator C (2W),VoltPack-3000,LFP,3.0,52.0,2021-12-16,Chennai,Tamil Nadu,12.9417,80.3453,885,2.56,32.4,43.5,34.7,39.9,8.2,0.9949,1.761,0.023,0.191,0.128,0.0296,0.9648
BAT-0200,Fleet Operator B (2W),VoltPack-3200,LCO,3.2,48.0,2021-06-16,Jaipur,Rajasthan,26.8973,75.9364,908,2.08,35.9,49.4,23.8,40.5,51.5,0.9882,3.438,0.043,0.346,0.23,0.1235,0.9211
BAT-0201,Fleet Operator B (3W),VoltPack-6700,LCO,6.7,48.0,2022-03-03,New Delhi,Delhi,28.6986,77.1125,341,5.68,32.8,42.7,18.6,23.9,21.0,0.9947,4.823,0.042,0.197,0.131,0.0261,0.9632
BAT-0202,Fleet Operator A (2W),VoltPack-3800,NMC,3.8,52.0,2022-01-07,Chennai,Tamil Nadu,12.9591,80.1693,1382,2.7,29.5,40.3,15.8,40.7,23.2,0.9902,1.744,0.028,0.3,0.2,0.0811,0.9339
BAT-0203,Fleet Operator B (2W),VoltPack-3900,NMC,3.9,60.0,2023-06-27,Bengaluru,Karnataka,12.9181,77.5082,664,2.77,35.0,47.4,24.6,14.2,20.4,0.9902,4.692,0.031,0.3,0.2,0.0814,0.9341
BAT-0204,Fleet Operator B (2W),VoltPack-3200,LCO,3.2,48.0,2024-12-22,Bengaluru,Karnataka,12.8898,77.6763,843,2.42,35.6,50.4,20.9,43.4,46.9,0.9917,2.519,0.019,0.264,0.176,0.0645,0.9441
BAT-0205,Fleet Operator B (3W),VoltPack-6000,LFP,6.0,48.0,2023-07-11,Hyderabad,Telangana,17.2365,78.4258,578,4.25,31.1,42.5,54.8,24.6,42.6,0.9901,4.972,0.036,0.302,0.201,0.069,0.9336
BAT-0206,Fleet Operator B (2W),VoltPack-3200,NMC,3.2,48.0,2023-08-07,Bengaluru,Karnataka,12.9586,77.5434,1186,2.04,34.1,51.9,58.5,38.2,32.5,0.9878,2.617,0.041,0.355,0.237,0.1205,0.9184
BAT-0207,Fleet Operator B (4W),VoltPack-38900,NMC,38.9,96.0,2024-08-15,Jaipur,Rajasthan,27.0079,75.6522,1379,29.19,35.7,50.2,32.7,22.8,38.7,0.9915,1.492,0.109,0.27,0.18,0.0569,0.9426
BAT-0208,Fleet Operator C (2W),VoltPack-4300,NMC,4.3,48.0,2023-01-17,Lucknow,Uttar Pradesh,26.9582,80.8104,1309,3.14,35.8,50.3,22.7,43.7,52.6,0.9908,2.343,0.013,0.285,0.19,0.0753,0.9382
BAT-0209,Fleet Operator C (2W),VoltPack-4000,NMC,4.0,60.0,2022-10-08,Bengaluru,Karnataka,12.8799,77.6775,643,2.71,35.4,51.0,86.7,34.5,39.5,0.9892,4.634,0.013,0.324,0.216,0.1096,0.9272
BAT-0210,Fleet Operator B (2W),VoltPack-3700,NMC,3.7,60.0,2024-08-28,Pune,Maharashtra,18.5069,73.921,1580,2.3,34.3,48.3,32.0,40.3,41.5,0.9873,1.951,0.02,0.367,0.245,0.0857,0.915
BAT-0211,Fleet Operator B (2W),VoltPack-4300,LFP,4.3,60.0,2023-09-28,Bengaluru,Karnataka,12.8365,77.6434,420,3.73,31.9,38.9,6.4,35.9,26.5,0.9953,3.578,0.044,0.182,0.121,0.0384,0.9676
BAT-0212,Fleet Operator B (3W),VoltPack-5600,NMC,5.6,60.0,2023-02-18,Lucknow,Uttar Pradesh,26.8673,80.9356,1457,3.19,31.6,50.7,67.0,42.1,33.6,0.9856,3.089,0.098,0.406,0.27,0.0941,0.9041
BAT-0213,Fleet Operator A (2W),VoltPack-3500,LFP,3.5,52.0,2023-03-13,Mumbai,Maharashtra,19.1136,72.883,826,2.59,31.4,48.1,35.3,12.4,46.7,0.9912,3.236,0.033,0.278,0.185,0.0974,0.9403
BAT-0214,Fleet Operator B (3W),VoltPack-7100,NMC,7.1,48.0,2023-07-20,New Delhi,Delhi,28.6196,77.3154,1226,5.52,29.2,46.0,56.7,25.7,51.1,0.9924,1.754,0.095,0.249,0.166,0.0754,0.9484
BAT-0215,Fleet Operator A (2W),VoltPack-4300,LCO,4.3,48.0,2024-10-10,Hyderabad,Telangana,17.3958,78.4133,551,3.99,26.4,37.9,7.6,32.9,16.3,0.9973,1.222,0.022,0.137,0.091,0.0094,0.9801
BAT-0216,Fleet Operator B (2W),VoltPack-3900,LFP,3.9,48.0,2021-04-19,Mumbai,Maharashtra,19.1725,72.9222,1238,2.6,36.4,43.1,24.2,40.8,28.5,0.9888,2.615,0.034,0.333,0.222,0.0656,0.9246
BAT-0217,Fleet Operator C (4W),VoltPack-34700,LFP,34.7,96.0,2023-09-24,New Delhi,Delhi,28.7326,77.1505,625,30.04,33.0,47.4,25.8,32.8,34.2,0.9953,2.293,0.017,0.183,0.122,0.0221,0.9671
